LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-84.8799962,40.5875502,,E 1100 S,,GENEVA,,IN,46740,,5bc03a2c6602d3dd
-85.0533146,40.8162976,,N 600 W,,DECATUR,,IN,46733,,76a17b7fdd0e4ab2
-85.0264846,40.8075858,,NW S11 SW/4 GOING THRU SW/4 NE,,DECATUR,,IN,46733,,c1d0a5d9e33ba679
-85.0134907,40.7733402,3979,W 200 N,,DECATUR,,IN,46733,,fe766ece8dd4313e
-84.9718279,40.6453539,1560,CARRINGTON WAY,,BERNE,,IN,46711,,73cb03bce696a175
-84.9714495,40.6453582,,CARRINGTON WAY,,BERNE,,IN,46711,,4759566637c40fdc
-84.8314573,40.6096694,9404,S 550 E,,GENEVA,,IN,46740,,9a7ad5f088187211
-85.000512,40.8114361,,W BETWEEN 300 & 400 W,,DECATUR,,IN,46733,,d874f90ac12e2d41
-85.0141813,40.8131582,,N 400 W,,DECATUR,,IN,46733,,62fe5c471813d2b9
-84.9568235,40.7691444,1656,N 100 W,,DECATUR,,IN,46733,,2dfb60d273e9f343
-84.9413628,40.8357865,1633,FAIRWAY DR,,DECATUR,,IN,46733,,5d5ddd0451760b0f
-84.8298079,40.6420494,7197,S 550 E,,BERNE,,IN,46711,,80b7b5048a2abc32
-84.9712457,40.6847008,,W 400 S,,BERNE,,IN,46711,,dd44638a8db2736e
-84.9863535,40.671094,2598,W 500 S,,BERNE,,IN,46711,,4926e5b0d18001ef
-84.9771801,40.8732963,,NW WINCHESTER RD,,DECATUR,,IN,46733,,7565d58a6719cf7d
-84.9767513,40.872764,,NW WINCHESTER RD,,DECATUR,,IN,46733,,93a665c476c00542
-84.9763079,40.8721852,,N 200 W,,DECATUR,,IN,46733,,c2402112f52f2f40
-84.9599948,40.6473011,,PARKWAY,,BERNE,,IN,46711,,ecb5aa9e1f156858
-84.8141764,40.605853,,S 600 E,,GENEVA,,IN,46740,,db6fcbd122650491
-84.9086062,40.6211381,,S 150 E,,GENEVA,,IN,46740,,4110256e3a4ac665
-84.9143001,40.616093,8941,S 100 E,,GENEVA,,IN,46740,,35e561f6b2afd5de
-84.9098075,40.6195373,,S 150  E,,GENEVA,,IN,46740,,a8878f3b9f11afab
-84.9102221,40.6169145,,E 900 S,,GENEVA,,IN,46740,,52615f8ce00a8674
-84.9771596,40.8727495,,N 200 W,,DECATUR,,IN,46733,,2b8ed96306f74be9
-84.8034975,40.8648759,,N 700 E,,DECATUR,,IN,46733,,83a11e3a4076624f
-84.8035052,40.8665194,8222,N 700 E,,DECATUR,,IN,46733,,9ce98bb980f6f164
-84.8571446,40.6163321,4107,E 900 S,,GENEVA,,IN,46740,,4d64921bae6328ba
-84.9388158,40.5902933,130,W 1050 S,,GENEVA,,IN,46740,,7a18abf815df85c4
-84.9514072,40.6927584,700,W 350 S,,BERNE,,IN,46711,,35db4825aaabc6b0
-84.9869433,40.6761087,,S 300 W,,BERNE,,IN,46711,,c2454b5447bfc2e7
-84.991556,40.677952,,S 300 W,,BERNE,,IN,46711,,eeb96b5472f81d3f
-84.9909961,40.676057,,S 300 W,,BERNE,,IN,46711,,b4b5e5d981f66f4f
-84.9881707,40.6779047,,S 300 W,,BERNE,,IN,46711,,30b45df0a0a0b849
-84.9911122,40.8332725,,N 300 W,,DECATUR,,IN,46733,,512201fdee8719fd
-84.9795316,40.8326137,,W US HWY 224,,DECATUR,,IN,46733,,e7365b898468c413
-84.8308253,40.6551695,6262,S 550 E,,BERNE,,IN,46711,,71f54c3385939ea5
-84.8701448,40.8397061,3510,E US HWY 224,,DECATUR,,IN,46733,,e6977ea6c1b22a18
-84.8203667,40.5963445,,S 600 E,,GENEVA,,IN,46740,,c8098703b06aa5d1
-84.876683,40.6730398,3144,E 500 S,,BERNE,,IN,46711,,d2eb520a76ff90c0
-84.8288954,40.6141441,,S 550 E,,BERNE,,IN,46711,,e64113e34ddd8f61
-84.871227,40.6533712,,S 350 E,,BERNE,,IN,46711,,1f81881488e280a3
-84.9081071,40.6194791,,S 150 E,,GENEVA,,IN,46740,,3b0da248fa7f5393
-84.977442,40.6459757,2145,W 700 S,,BERNE,,IN,46711,,432520f976829fb4
-84.900905,40.7134208,2230,S 200 E,,MONROE,,IN,46772,,883de771e8f2165a
-84.9583518,40.7302685,1110,W 100 S,,MONROE,,IN,46772,,dacb6fa65a992346
-84.9786973,40.8213692,,N 200 W,,DECATUR,,IN,46733,,5558ed4f6807241a
-84.9011272,40.6871621,1878,E 400 S,,BERNE,,IN,46711,,c07f44d6813abcca
-84.8873665,40.689346,,E 400 S,,MONROE,,IN,46772,,14ea1b1f802411eb
-84.9161328,40.7115781,2373,S 100 E,,MONROE,,IN,46772,,2ca064a5258010f5
-84.9157251,40.711058,2383,S 100 E,,MONROE,,IN,46772,,c89f4d09357f7a40
-84.9888511,40.7319381,2733,W 100 S,,MONROE,,IN,46772,,9e250fc07a7a2dca
-84.9546898,40.6693227,,N US HIGHWAY 27,,BERNE,,IN,46711,,b2be174b1a9d2647
-85.0240975,40.7324472,,W 100 S-1,,BLUFFTON,,IN,46714,,5e45dc580f188c04
-84.8439883,40.5998573,,E 1000 S,,GENEVA,,IN,46740,,8279c04c18b1fe4b
-84.8934186,40.8329315,,E 600 N,,DECATUR,,IN,46733,,ed8b37b995f9ef3a
-84.8934734,40.8325737,,E LAKE CT,,DECATUR,,IN,46733,,33aeb93c0773a6ee
-84.8935724,40.8322528,,E LAKE CT,,DECATUR,,IN,46733,,23b7a7c48a020370
-84.8933047,40.8320248,,E LAKE CT,,DECATUR,,IN,46733,,f5605d0256e4a85d
-84.8929026,40.8320255,,E LAKE CT,,DECATUR,,IN,46733,,8bd48dae07425f90
-84.892636,40.8322543,,E LAKE CT,,DECATUR,,IN,46733,,d6f1e4dfb44fec76
-84.8927367,40.8325749,,E LAKE CT,,DECATUR,,IN,46733,,2152af62f3af5795
-84.892794,40.8329321,,E 600 N,,DECATUR,,IN,46733,,c859c98fc6037fe4
-84.8923782,40.8329159,,E 600 N,,DECATUR,,IN,46733,,1aa3fd6d0b65c1e3
